date,Temperature,T Max,T Min
2017/1/1,22.6,27.3,19.9
2017/1/2,21.4,26.4,17.8
2017/1/3,20.7,22.3,19.8
2017/1/4,23.2,27.3,20.4
2017/1/5,22.4,27.1,19.2
2017/1/6,22.2,26.2,20.2
2017/1/7,22.6,27.1,21.2
2017/1/8,20.2,22.8,18.2
2017/1/9,17.7,18.7,16.8
2017/1/10,18.7,21.5,16.9
2017/1/11,19.5,21.6,18.3
2017/1/12,20,22.3,18.3
2017/1/13,15.7,18.4,14.1
2017/1/14,13.7,15.4,12.4
2017/1/15,14,14.7,13.3
2017/1/16,15.1,16.3,13.5
2017/1/17,19.2,23.2,16
2017/1/18,20.2,24.8,18
2017/1/19,19.3,22.6,18
2017/1/20,14.3,18,12.2
2017/1/21,14.3,15.9,12.4
2017/1/22,14.9,18.7,13.7
2017/1/23,14.7,15.7,13.6
2017/1/24,14.5,16.1,13.7
2017/1/25,15.4,17.3,13.7
2017/1/26,16.4,19.9,14
2017/1/27,18.5,24.8,14.6
2017/1/28,20.3,26.3,16.6
2017/1/29,20.7,26,17.4
2017/1/30,17.5,20.3,14.3
2017/1/31,16.1,18.5,14.1
2017/2/1,17.1,18.5,14.9
2017/2/2,15.6,16.7,14.6
2017/2/3,19.8,25,15.8
2017/2/4,19.7,25,17.4
2017/2/5,19.2,23.6,17.5
2017/2/6,17.9,19.8,16.7
2017/2/7,17.9,20.8,16.7
2017/2/8,17.9,22.4,15.1
2017/2/9,11.7,15.2,10.4
2017/2/10,11.9,13.7,10.4
2017/2/11,12.4,14.9,11.5
2017/2/12,14.4,15.8,12.3
2017/2/13,16.3,20.2,14.1
2017/2/14,16.9,21,15
2017/2/15,19.8,26.2,15.6
2017/2/16,19.4,26.8,14.2
2017/2/17,20.8,27.9,15.4
2017/2/18,19.8,23.6,18
2017/2/19,21.5,27.9,17.7
2017/2/20,20.6,25.9,17.2
2017/2/21,19.5,23.3,16.6
2017/2/22,19.6,23.6,16
2017/2/23,15.7,19.5,12.7
2017/2/24,13.1,14.1,11.8
2017/2/25,14.2,15,13.4
2017/2/26,13.3,14.6,12.2
2017/2/27,15.3,16.3,13.9
2017/2/28,14.7,16.2,13.9
2017/3/1,16.4,20.2,14
2017/3/2,14.5,16.4,12.9
2017/3/3,16.9,21.2,13.3
2017/3/4,18.3,22.1,15.5
2017/3/5,20.5,26.2,15.5
2017/3/6,16,20.1,15
2017/3/7,14,15.8,12
2017/3/8,14,15.2,12.7
2017/3/9,16,17.4,14.5
2017/3/10,17.4,18.2,16.6
2017/3/11,19.7,23.9,16.4
2017/3/12,21.8,28.8,18.6
2017/3/13,18.3,21.1,14.9
2017/3/14,14.2,15.1,13.1
2017/3/15,16.1,17.2,14.6
2017/3/16,16.2,18,14.9
2017/3/17,18.1,21.4,15.7
2017/3/18,19.9,26.1,17.4
2017/3/19,19.5,20.9,17.8
2017/3/20,21.8,25,18.5
2017/3/21,18.7,21.6,16.4
2017/3/22,20.9,26.8,17.3
2017/3/23,18.9,24,16.9
2017/3/24,21.1,25.9,17.9
2017/3/25,16.6,21.1,13.8
2017/3/26,14.4,15.8,12.6
2017/3/27,19.1,25.1,12.5
2017/3/28,22.2,27.3,17.7
2017/3/29,21.5,27.2,18
2017/3/30,22.8,29.3,18.3
2017/3/31,18.8,26.8,13.6
2017/4/1,15.1,19.5,12.8
2017/4/2,17.2,23.3,11.5
2017/4/3,19.9,25.5,14.3
2017/4/4,22,27.8,17.3
2017/4/5,23.4,29.7,17.7
2017/4/6,23.5,26.3,20.8
2017/4/7,24,29,21.1
2017/4/8,25.7,32,21
2017/4/9,26.5,32.3,23
2017/4/10,28.8,35.5,23.6
2017/4/11,20.8,26,17.5
2017/4/12,17.7,18.3,17
2017/4/13,19.3,22.3,16.7
2017/4/14,21.2,24.3,18.5
2017/4/15,24.1,29.5,19.2
2017/4/16,25.4,32.1,22.7
2017/4/17,27.2,32.4,23.1
2017/4/18,26.4,28.2,25.5
2017/4/19,25.5,30.1,24
2017/4/20,25.9,29,22.8
2017/4/21,24.9,31.7,18.6
2017/4/22,17.7,18.9,15.9
2017/4/23,20,22.2,16.7
2017/4/24,21.4,24.1,18.9
2017/4/25,23.9,27.6,19.7
2017/4/26,23.9,29.6,20.2
2017/4/27,17.6,20.2,15.1
2017/4/28,19.4,24.2,15.1
2017/4/29,21.2,27.5,15.1
2017/4/30,23.9,30.3,18.5
2017/5/1,25.5,31.7,20
2017/5/2,25.9,30.4,22.4
2017/5/3,25.4,29.5,23.2
2017/5/4,27.4,32.3,23.4
2017/5/5,27.2,32.2,25
2017/5/6,24.2,26.7,22.5
2017/5/7,23.8,26.9,22.4
2017/5/8,26.7,32.6,22.7
2017/5/9,25.7,28.5,23.6
2017/5/10,28.2,33.2,23.3
2017/5/11,28.6,35,25.8
2017/5/12,27,32.6,24.6
2017/5/13,25,26.9,24.1
2017/5/14,26.2,32,23.5
2017/5/15,26,31.9,21.6
2017/5/16,21.2,22,20.4
2017/5/17,23.2,27,20.2
2017/5/18,25.8,29.8,23.2
2017/5/19,24.7,27.4,21.9
2017/5/20,25.2,29.6,21.5
2017/5/21,25,28.6,23.8
2017/5/22,26.4,30.4,24.1
2017/5/23,27.9,32.7,24.7
2017/5/24,27,33.2,22.7
2017/5/25,22.8,24,21.9
2017/5/26,23.7,25.8,21.8
2017/5/27,22.7,25.8,19.7
2017/5/28,23.7,26.3,21.7
2017/5/29,26.3,30.5,23.1
2017/5/30,27,31.2,24.9
2017/5/31,28.6,34.3,24.4
2017/6/1,30.1,34.1,26.6
2017/6/2,25.5,29.4,23.9
2017/6/3,24.6,26,23.6
2017/6/4,25.2,27.4,23.6
2017/6/5,27.8,32.1,24.8
2017/6/6,29.2,34.6,26
2017/6/7,30.1,35.5,26.1
2017/6/8,29.3,34.2,27
2017/6/9,30,34,26.5
2017/6/10,29.1,34.2,26.5
2017/6/11,28.4,34.8,25.9
2017/6/12,27.5,35,24.7
2017/6/13,27.8,34.4,24.9
2017/6/14,25.1,26.9,23
2017/6/15,22.6,23.4,22
2017/6/16,24,26.6,22.2
2017/6/17,23.5,25.5,22.2
2017/6/18,24.1,26.4,22.6
2017/6/19,26.6,30.3,23.6
2017/6/20,29,35,24.6
2017/6/21,29.5,35.1,26.5
2017/6/22,29.6,35.3,25.5
2017/6/23,30.1,35.1,26.5
2017/6/24,30.5,34.6,26.9
2017/6/25,30.6,34.7,27.2
2017/6/26,31,35.6,27.7
2017/6/27,30.4,35.3,27.8
2017/6/28,30.3,35.6,26.7
2017/6/29,30.2,35.1,27
2017/6/30,29.1,35.2,26.6
2017/7/1,28.7,35.9,25.6
2017/7/2,29.5,35,25.2
2017/7/3,28.9,35,24.2
2017/7/4,28.7,34.7,26
2017/7/5,29.8,35.9,25.6
2017/7/6,30.3,34.9,27.3
2017/7/7,28.5,33.3,24.7
2017/7/8,28.3,34.4,24.8
2017/7/9,28.3,34.7,25.7
2017/7/10,29.1,35.6,26.3
2017/7/11,29.4,34,26.9
2017/7/12,30.4,35.1,26.9
2017/7/13,31,35.8,27.1
2017/7/14,30.7,35.3,27.5
2017/7/15,31,35.2,27.6
2017/7/16,31.4,35.4,27.6
2017/7/17,30.8,33.7,27.8
2017/7/18,31.5,36.8,28.2
2017/7/19,31.6,38,27.6
2017/7/20,32,37.9,27.8
2017/7/21,31.9,37.2,27.6
2017/7/22,31.5,35.3,28
2017/7/23,31.4,37.8,28
2017/7/24,31.3,35.7,28.1
2017/7/25,31.5,36.4,28
2017/7/26,30.7,36.6,28.2
2017/7/27,30.5,34.7,27.3
2017/7/28,30.9,35.6,28.3
2017/7/29,28.4,32.4,25.6
2017/7/30,31.1,34.4,26.4
2017/7/31,28.8,31.4,26.2
2017/8/1,30,33.7,26.5
2017/8/2,28.7,34.8,25.4
